publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
Journal of Global Fashion Marketing	2093-2685	2325-4483	2010-01-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgfm20		rgfm20		fulltext			serial										2093-2685	2325-4483				
Global Discourse	2326-9995	2043-7897	2010-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgld20		rgld20		fulltext	New to Routledge for 2013.		serial										2326-9995	2043-7897				
Globalizations	1474-7731	1474-774X	2004-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rglo20		rglo20		fulltext			serial										1474-7731	1474-774X				
Global Public Health	1744-1692	1744-1706	2006-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgph20		rgph20		fulltext			serial										1744-1692	1744-1706				
Green Letters	1468-8417	2168-1414	2000-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgrl20		rgrl20		fulltext			serial										1468-8417	2168-1414				
Global Security: Health, Science and Policy		2377-9497	2016-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rgsh20		rgsh20		fulltext	Open Access		serial								F			2377-9497				
Housing and Society	0888-2746	2376-0923	1974-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhas20		rhas20		fulltext			serial										0888-2746	2376-0923				
History of European Ideas	0191-6599	1873-541X	1980-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhei20		rhei20		fulltext			serial										0191-6599	1873-541X				
Planet	1473-1835	1758-3608	2001-01-01	1	1	2013-12-31	27	2	http://www.tandfonline.com/openurl?genre=journal&stitle=rhep12		rhep12		fulltext	Now: Higher Education Pedagogies		serial										1473-1835	1758-3608				
Journal for Education in the Built Environment		1747-4205	2006-01-01	1	1	2014-12-31	9	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rhep13		rhep13		fulltext	now: Higher Education Pedagogies		serial											1747-4205				
Innovation in Teaching and Learning in Information and Computer Sciences		1473-7507	2002-01-01	1	1	2013-12-31	12	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rhep14		rhep14		fulltext	Now: Higher Education Pedagogies		serial											1473-7507				
Health & Social Care Education	2051-6487	2051-0888	2012-01-01	1	1	2014-12-31	3	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rhep15		rhep15		fulltext	Now: Higher Education Pedagogies		serial										2051-6487	2051-0888				
Enhanced Learning in Social Sciences		1756-848X	2008-01-01	1	1	2014-12-31	6	2	http://www.tandfonline.com/openurl?genre=journal&stitle=rhep16		rhep16		fulltext	Now: Higher Education Pedagogies		serial											1756-848X				
Engineering Education	1750-0044	1750-0052	2006-01-01	1	1	2014-12-31	9	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rhep17		rhep17		fulltext	Now: Higher Education Pedagogies		serial										1750-0044	1750-0052				
Business and Management Education in HE		2052-3963	2014-01-01	1		2014-12-31	1		http://www.tandfonline.com/openurl?genre=journal&stitle=rhep18		rhep18		fulltext	Now: Higher Education Pedagogies		serial											2052-3963				
Bioscience Education		1479-7860	2003-01-01	1	1	2014-12-31	22	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rhep19		rhep19		fulltext	Now: Higher Education Pedagogies		serial											1479-7860				
Higher Education Pedagogies		2375-2696	2016-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhep20		rhep20		fulltext	Open Access		serial								F			2375-2696				
History of Economics Review	1037-0196	1838-6318	1982-01-01	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rher20		rher20		fulltext			serial										1037-0196	1838-6318				
The History of the Family	1081-602X	1873-5398	1996-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhof20		rhof20		fulltext			serial										1081-602X	1873-5398				
Holocaust Studies: A Journal of Culture and History	1750-4902	2048-4887	2005-01-01	11	1				http://www.tandfonline.com/loi/rhos20		rhos20		fulltext	previously:  Journal of holocaust education [ISSN 1359-1371]; British Journal of Holocaust Education (1992 - 1994) 		serial										1750-4902	2048-4887				
Health Psychology and Behavioral Medicine		2164-2850	2013-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhpb		rhpb		fulltext	Open Access		serial								F			2164-2850				
Housing Policy Debate	1051-1482	2152-050X	1990-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhpd20		rhpd20		fulltext			serial										1051-1482	2152-050X				
International Journal of Health Education	1368-1222		1997-01-01	35	1	1997-12-31	35	4	http://www.tandfonline.com/openurl?genre=journal&stitle=rhpe19		rhpe19		fulltext	Now: International Journal of Health Promotion and Education (1998 - current). Previously: Journal of the Institute of Health Education 		serial										1368-1222					
International Journal of Health Promotion and Education	1463-5240	2164-9545	1998-01-01	36	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhpe20		rhpe20		fulltext			serial										1463-5240	2164-9545				
