"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"coverage_notes"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"
"IET Intelligent Transport Systems"	"1751-956X"	"1751-9578"	"2007-03"	"1"	"1"	"2007-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-its"	""	"iet-its"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Intelligent Transport Systems"	"fee-based (P)"
"The Journal of Engineering"	""	"2051-3305"	"2009-02"	"1"	"1"	"2009-02"	"1"	"1"	"http://digital-library.theiet.org/content/journals/joe"	""	"joe"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Manufacturing Engineer"	"0956-9944"	"1741-0509"	"1989-05"	"68"	"5"	"2007-12"	"86"	"6"	"http://digital-library.theiet.org/content/journals/me"	""	"me"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Production Engineer"	"fee-based (P)"
"Micro & Nano Letters"	""	"1750-0443"	"2006-07"	"1"	"1"	"2006-07"	"1"	"1"	"http://digital-library.theiet.org/content/journals/mnl"	""	"mnl"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IET Microwaves, Antennas & Propagation"	"1751-8725"	"1751-8733"	"2007-02"	"1"	"1"	""	""	""	"http://digital-library.theiet.org/content/journals/iet-map"	""	"iet-map"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Microwaves, Antennas and Propagation"	"fee-based (P)"
"IEE Proceedings - Microwaves, Antennas and Propagation"	"1350-2417"	"1359-706X"	"1994-02"	"141"	"1"	"2006-12"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-map"	""	"ip-map"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings H (Microwaves, Antennas and Propagation)"	"fee-based (P)"
"IEE Proceedings H (Microwaves, Antennas and Propagation)"	"0950-107X"	"2053-907X"	"1985-02"	"132"	"1"	"1993-12"	"140"	"6"	"http://digital-library.theiet.org/content/journals/ip-h-2"	""	"ip-h-2"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings H (Microwaves, Optics and Antennas)"	"fee-based (P)"
"IEE Journal on Microwaves, Optics and Acoustics"	"0308-6976"	"2053-9029"	"1976-09"	"1"	"1"	"1979-11"	"3"	"6"	"http://digital-library.theiet.org/content/journals/ij-moa"	""	"ij-moa"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Proceedings H (Microwaves, Optics and Antennas)"	"0143-7097"	"2053-7972"	"1980-02"	"127"	"1"	"1984-12"	"131"	"6"	"http://digital-library.theiet.org/content/journals/ip-h-1"	""	"ip-h-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Journal on Microwaves, Optics and Acoustics"	"fee-based (P)"
"IEE Proceedings - Nanobiotechnology"	"1478-1581"	"1740-9748"	"2003-06"	"150"	"1"	"2006-12"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-nbt"	""	"ip-nbt"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IET Nanobiotechnology"	"1751-8741"	"1751-875X"	"2007-02"	"1"	"1"	"2007-02"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-nbt"	""	"iet-nbt"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Nanobiotechnology"	"fee-based (P)"
"IET Networks"	"2047-4954"	"2047-4962"	"2012-03"	"1"	"1"	"2012-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-net"	""	"iet-net"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Proceedings - Optoelectronics"	"1350-2433"	"1359-7078"	"1994-02"	"141"	"1"	"2006-12"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-opt"	""	"ip-opt"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings J (Optoelectronics)"	"fee-based (P)"
"IEE Proceedings J (Optoelectronics)"	"0267-3932"	"2053-9088"	"1985-02"	"132"	"1"	"1993-12"	"140"	"6"	"http://digital-library.theiet.org/content/journals/ip-j"	""	"ip-j"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings H (Microwaves, Optics and Antennas)"	"fee-based (P)"
"IET Optoelectronics"	"1751-8768"	"1751-8776"	"2007-02"	"1"	"1"	""	""	""	"http://digital-library.theiet.org/content/journals/iet-opt"	""	"iet-opt"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Optoelectronics"	"fee-based (P)"
"IEE Proceedings A (Physical Science, Measurement and Instrumentation, Management and Education)"	"0143-702X"	"2053-7905"	"1989-01"	"136"	"1"	"1990-11"	"137"	"6"	"http://digital-library.theiet.org/content/journals/ip-a-2"	""	"ip-a-2"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings A (Physical Science, Measurement and Instrumentation, Management and Education, Reviews)"	"fee-based (P)"
"IEE Proceedings A (Physical Science, Measurement and Instrumentation, Management and Education, Reviews)"	"0143-702X"	"2053-7905"	"1980-01"	"127"	"1"	"1988-11"	"135"	"8"	"http://digital-library.theiet.org/content/journals/ip-a-1"	""	"ip-a-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Proceedings of the Institution of Electrical Engineers"	"fee-based (P)"
"IET Power Electronics"	"1755-4535"	"1755-4543"	"2008-03"	"1"	"1"	"2008-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-pel"	""	"iet-pel"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Power Engineer"	"1479-8344"	"1741-0517"	"2003-02"	"17"	"1"	"2007-12"	"21"	"6"	"http://digital-library.theiet.org/content/journals/pe"	""	"pe"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Power Engineering Journal"	"fee-based (P)"
"Power Engineering Journal"	"0950-3366"	""	"1987-01"	"1"	"1"	"2002-12"	"16"	"6"	"http://digital-library.theiet.org/content/journals/pej"	""	"pej"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Institution of Electrical Engineers - Proceedings of the Wireless Section of the Institution"	"2050-2613"	"2054-0655"	"1926-03"	"1"	"1"	"1940-09"	"15"	"45"	"http://digital-library.theiet.org/content/journals/pws"	""	"pws"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Production Engineer"	"0032-9851"	"2053-7859"	"1960-01"	"39"	"1"	"1989-04"	"68"	"4"	"http://digital-library.theiet.org/content/journals/tpe"	""	"tpe"	""	"fulltext"	""	""	"Peter Peregrinus"	"serial"	""	""	""	""	""	""	"Journal of the Institution of Production Engineers"	"fee-based (P)"
"IEE Proceedings F (Radar and Signal Processing)"	"0956-375X"	"2053-9045"	"1989-02"	"136"	"1"	"1993-12"	"140"	"6"	"http://digital-library.theiet.org/content/journals/ip-f-2"	""	"ip-f-2"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Radar, Sonar and Navigation"	"fee-based (P)"
"IET Radar, Sonar & Navigation"	"1751-8784"	"1751-8792"	"2007-02"	"1"	"1"	"2007-02"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-rsn"	""	"iet-rsn"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Radar, Sonar and Navigation"	"fee-based (P)"
"IEE Proceedings - Radar, Sonar and Navigation"	"1350-2395"	"1359-7086"	"1994-02"	"141"	"1"	"2006-12"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-rsn"	""	"ip-rsn"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings F (Radar and Signal Processing)"	"fee-based (P)"
"Radio and Electronic Engineer"	"0033-7722"	"2054-037X"	"1963-01"	"25"	"1"	"1984-12"	"54"	"11"	"http://digital-library.theiet.org/content/journals/ree"	""	"ree"	""	"fulltext"	""	""	"Institution of Electronic and Radio Engineers"	"serial"	""	""	""	""	""	""	"Journal of the British Institution of Radio Engineers"	"fee-based (P)"
"IET Renewable Power Generation"	"1752-1416"	"1752-1424"	"2007-03"	"1"	"1"	"2007-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-rpg"	""	"iet-rpg"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Review"	"0953-5683"	"1741-0495"	"1988-01"	"34"	"1"	"2006-03"	"52"	"3"	"http://digital-library.theiet.org/content/journals/ir"	""	"ir"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Electronics & Power"	"fee-based (P)"
"IET Science, Measurement & Technology"	"1751-8822"	"1751-8830"	"2007-01"	"1"	"1"	"2007-01"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-smt"	""	"iet-smt"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Science, Measurement and Technology"	"fee-based (P)"
"IEE Proceedings - Science, Measurement and Technology"	"1350-2344"	"1359-7094"	"1994-01"	"141"	"1"	"2006-11"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-smt"	""	"ip-smt"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings A (Science, Measurement and Technology)"	"fee-based (P)"
"IEE Proceedings A (Science, Measurement and Technology)"	"0960-7641"	"2054-0337"	"1991-01"	"138"	"1"	"1993-11"	"140"	"6"	"http://digital-library.theiet.org/content/journals/ip-a-3"	""	"ip-a-3"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings A (Physical Science, Measurement and Instrumentation, Management and Education)"	"fee-based (P)"
"IET Signal Processing"	"1751-9675"	"1751-9683"	"2007-03"	"1"	"1"	"2007-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-spr"	""	"iet-spr"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Vision, Image and Signal Processing"	"fee-based (P)"
"Journal of the Society of Telegraph Engineers and of Electricians"	"2050-263X"	"2054-068X"	"1881-01"	"10"	"35"	"1882-01"	"11"	"40"	"http://digital-library.theiet.org/content/journals/jste-2"	""	"jste-2"	""	"fulltext"	""	""	"Society of Telegraph Engineers"	"serial"	""	""	""	""	""	""	"Journal of the Society of Telegraph Engineers"	"fee-based (P)"
"Journal of the Society of Telegraph Engineers"	"2050-2621"	"2054-0698"	"1872-01"	"1"	"1"	"1880-01"	"9"	"30"	"http://digital-library.theiet.org/content/journals/jste-1"	""	"jste-1"	""	"fulltext"	""	""	"Society of Telegraph Engineers"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Journal of the Society of Telegraph-Engineers and Electricians"	"2050-5477"	"2054-0671"	"1883-01"	"12"	"46"	"1888-01"	"17"	"70"	"http://digital-library.theiet.org/content/journals/jste-3"	""	"jste-3"	""	"fulltext"	""	""	"Society of Telegraph Engineers"	"serial"	""	""	""	""	""	""	"Journal of the Society of Telegraph Engineers and of Electricians"	"fee-based (P)"
"Software & Microsystems"	"0261-3182"	"2053-9096"	"1981-10"	"1"	"1"	"1985-12"	"4"	"5"	"http://digital-library.theiet.org/content/journals/sm"	""	"sm"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Software Engineering Journal"	"0268-6961"	"2053-910X"	"1986-01"	"1"	"1"	"1996-11"	"11"	"6"	"http://digital-library.theiet.org/content/journals/sej"	""	"sej"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Software & Microsystems"	"fee-based (P)"
"IEE Proceedings - Software"	"1462-5970"	"1463-9831"	"1997-01"	"144"	"1"	"2006-12"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-sen"	""	"ip-sen"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Software Engineering Journal"	"fee-based (P)"
"IET Software"	"1751-8806"	"1751-8814"	"2007-02"	"1"	"1"	""	""	""	"http://digital-library.theiet.org/content/journals/iet-sen"	""	"iet-sen"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Software"	"fee-based (P)"
"IEE Journal on Solid-State and Electron Devices"	"0308-6968"	"2053-9037"	"1976-09"	"1"	"1"	"1979-11"	"3"	"6"	"http://digital-library.theiet.org/content/journals/ij-ssed"	""	"ij-ssed"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Proceedings I (Solid-State and Electron Devices)"	"0143-7100"	"2053-7980"	"1980-02"	"127"	"1"	"1988-12"	"135"	"6"	"http://digital-library.theiet.org/content/journals/ip-i-1"	""	"ip-i-1"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Journal on Solid-State and Electron Devices"	"fee-based (P)"
"Students' Quarterly Journal"	"0039-2871"	"2053-7875"	"1930-10"	"1"	"1"	"1972-09"	"42"	"169"	"http://digital-library.theiet.org/content/journals/sqj"	""	"sqj"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IET Synthetic Biology"	"1752-1394"	"1752-1408"	"2007-06"	"1"	"1"	"2007-06"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-stb"	""	"iet-stb"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Systems Biology"	"1741-2471"	"1741-248X"	"2004-06"	"1"	"1"	"2005-03"	"2"	"1"	"http://digital-library.theiet.org/content/journals/sb"	""	"sb"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"IEE Proceedings - Systems Biology"	"1741-2471"	"1741-248X"	"2005-06"	"152"	"2"	"2006-11"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-syb"	""	"ip-syb"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"Systems Biology"	"fee-based (P)"
"IET Systems Biology"	"1751-8849"	"1751-8857"	"2007-01"	"1"	"1"	"2007-01"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-syb"	""	"iet-syb"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	"IEE Proceedings - Systems Biology"	"fee-based (P)"
"IEE Proceedings - Vision, Image and Signal Processing"	"1350-245X"	"1359-7108"	"1994-02"	"141"	"1"	"2006-12"	"153"	"6"	"http://digital-library.theiet.org/content/journals/ip-vis"	""	"ip-vis"	""	"fulltext"	""	""	"IEE"	"serial"	""	""	""	""	""	""	"IEE Proceedings F (Radar and Signal Processing)"	"fee-based (P)"
"IET Wireless Sensor Systems"	"2043-6386"	"2043-6394"	"2011-03"	"1"	"1"	"2011-03"	"1"	"1"	"http://digital-library.theiet.org/content/journals/iet-wss"	""	"iet-wss"	""	"fulltext"	""	""	"Institution of Engineering and Technology"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
"Wiring Installations and Supplies"	"0308-8650"	"2054-0388"	"1976-01"	"1976"	"1"	"1986-12"	"1986"	"27"	"http://digital-library.theiet.org/content/journals/wis"	""	"wis"	""	"fulltext"	""	""	"Peter Peregrinus"	"serial"	""	""	""	""	""	""	""	"fee-based (P)"
