publication_title	print_identifier	publisher_name	date_first_issue_online	num_first_vol_online	date_last_issue_online	num_last_vol_online	title_url	title_id
中國大陸研究	1013-2716	國立政治大學國際關係研究中心	199801	41:1	202109	64:3	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000142	142
中國行政	1017-575X	國立政治大學公共行政及企業管理教育中心	200706	78	201008	82	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000143	143
社會科學論叢	1995-6584	政治大學	200704	1:1	202106	15:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000144	144
國立政治大學民族學報	1024-8250	政治大學	200511	24	200906	28	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000145	145
政大體育研究	1562-9686	政治大學	200309	15	201812	25	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000146	146
國立政治大學歷史學報	0301-9667	政治大學	200405	21	202105	55	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000147	147
傳播研究集刊		政治大學	199712	1	200307	8	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000148	148
資管評論	1018-1393	政治大學	199812	8	200603	14	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000149	149
Taiwan Journal of TESOL	1814-9448	政治大學	200404	1:1	202110	18:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000151	151
語文與國際研究	1811-4717	文藻外語大學	200406	1	202106	25	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000152	152
應華學報	1994-1919	文藻外語大學應用華語文系	200612	1	202006	22	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000153	153
運動休閒管理學報	1815-4093	台灣生態休閒產業管理學會	200406	1:1	202106	18:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000154	154
華岡英語學報		中國文化大學英國語文學系	200807	14	200906	15	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000155	155
Annals of Nuclear Medicine and Molecular Imaging	1022-923X	中華民國核醫醫學會	199804	11:2	201312	26:4	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000156	156
休閒暨觀光產業研究	1992-5565	國立高雄應用科技大學觀光管理系	200609	1:1	201511	7:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000157	157
環球科技人文學刊	1992-2493	環球科技大學	200503	1	202107	28	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000159	159
國立臺灣大學醫學院圖書分館館訊	1021-0768	國立臺灣大學醫學院圖書分館	199111	1	201210	106	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000160	160
健康促進暨衛生教育雜誌	1561-3852	臺灣健康促進暨衛生教育學會	200512	25	202006	44	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000161	161
國立嘉義大學通識教育集刊		國立嘉義大學通識教育中心	200312	1	200312	1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000166	166
中極學刊		國立暨南國際大學中國語文學系	200212	2	201607	10	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000167	167
中正大學中文學術年刊	1996-269x	國立中正大學中國文學系	200712	10	201112	18	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000168	168
中正大學中國文學研究所研究生論文集刊		國立中正大學中國文學系	200805	10	201406	16	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000169	169
中山管理評論	1023-2842	國立中山大學管理學院	200403	12:1	202109	29:3	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000170	170
議藝份子	1562-3475	國立中央大學藝術學研究所學生會	199810	1	202110	37	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000171	171
哲學論集		輔仁大學哲學系	200807	41	202102	53	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000172	172
國立虎尾科技大學學報	1993-7571	國立虎尾科技大學	200803	27:1	202106	35:4	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000173	173
新竹師院國民教育研究所論文集		國立新竹教育大學	199512	1	200404	9	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000174	174
國立新竹師範學院教育研究所論文集		國立新竹教育大學	200504	10	200504	10	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000175	175
慈濟護理雜誌	1683-1624	慈濟護理雜誌社	200403	3:1	200512	4:4	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000178	178
志為護理:慈濟護理人文與科學	1683-1624	慈濟護理雜誌社	200802	7:1	202110	20:5	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000179	179
