publication_title	online_identifier	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Preble - Transforming School Climate and Learning: Beyond Bullying and Compliance	9781483387499	http://knowledge.sagepub.com/view/transforming-school-climate-and-learning/SAGE.xml	Preble	transforming-school-climate-and-learning				Corwin	Monograph	13/06/2011	19/12/2014						F
Zacarian - Transforming Schools for English Learners: A Comprehensive Framework for School Leaders	9781452219707	http://knowledge.sagepub.com/view/transforming-schools-for-english-learners/SAGE.xml	Zacarian	transforming-schools-for-english-learners				Corwin	Monograph	18/04/2011	19/06/2012						F
Goldmann - Transforming the European Nation-State: Dynamics of Internationalization	9781446219041	http://knowledge.sagepub.com/view/transforming-the-european-nation-state/SAGE.xml	Goldmann	transforming-the-european-nation-state				SAGE Publications Ltd	Monograph	21/08/2001	19/06/2012						F
Salter - Transforming Trauma: A Guide to Understanding and Treating Adult Survivors of Child Sexual Abuse	9781452232102	http://knowledge.sagepub.com/view/transforming-trauma/SAGE.xml	Salter	transforming-trauma				"SAGE Publications, Inc"	Monograph	31/05/1995	19/06/2012						F
Cohen-Kettenis - Transgenderism and Intersexuality in Childhood and Adolescence: Making Choices	9781452233628	http://knowledge.sagepub.com/view/transgenderism-and-intersexuality-in-childhood-and-adolescence/SAGE.xml	Cohen-Kettenis	transgenderism-and-intersexuality-in-childhood-and-adolescence				"SAGE Publications, Inc"	Monograph	14/02/2003	19/06/2012	46					F
Trodd - Transitions in the Early Years: Working with Children and Families	9781446270172	http://knowledge.sagepub.com/view/transitions-in-the-early-years/SAGE.xml		transitions-in-the-early-years				SAGE Publications Ltd	Monograph	14/12/2012	1/02/2013			Trodd			F
Narasimhan - Translation as a Touchstone	9788132114086	http://knowledge.sagepub.com/view/translation-as-a-touchstone/SAGE.xml	Narasimhan	translation-as-a-touchstone				SAGE India	Monograph	17/12/2012	26/12/2013						F
d'Agostino - Transmission: Toward a Post-Television Culture (Second Edition)	9781483326870	http://knowledge.sagepub.com/view/transmission/SAGE.xml		transmission				"SAGE Publications, Inc"	Monograph	1/09/1994	20/12/2013	17	Second Edition	d'Agostino			F
Albanese - Transnational Organized Crime: An Overview from Six Continents	9781483349091	http://knowledge.sagepub.com/view/transnational-organized-crime/SAGE.xml		transnational-organized-crime				"SAGE Publications, Inc"	Monograph	7/05/2013	26/12/2013			Albanese			F
Wellings - Transpersonal Psychotherapy	9781446212264	http://knowledge.sagepub.com/view/transpersonal-psychotherapy/SAGE.xml	Wellings	transpersonal-psychotherapy				SAGE Publications Ltd	Monograph	30/01/2000	19/06/2012					226540	F
Garrett - Transportation Planning on Trial: The Clean Air Act and Travel Forecasting	9781483327594	http://knowledge.sagepub.com/view/transportation-planning-on-trial/SAGE.xml	Garrett	transportation-planning-on-trial				"SAGE Publications, Inc"	Monograph	20/05/1996	20/12/2013						F
Chiland - Transsexualism: Illusion and Reality	9781446211816	http://knowledge.sagepub.com/view/transsexualism/SAGE.xml	Chiland	transsexualism				SAGE Publications Ltd	Monograph	30/01/2003	19/06/2012					226526	F
Tedeschi - Trauma and Transformation: Growing in the Aftermath of Suffering	9781483326931	http://knowledge.sagepub.com/view/trauma-and-transformation/SAGE.xml	Tedeschi	trauma-and-transformation				"SAGE Publications, Inc"	Monograph	20/06/1995	20/12/2013						F
"Ringel - Trauma: Contemporary Directions in Theory, Practice, and Research"	9781452230597	http://knowledge.sagepub.com/view/trauma-contemporary/SAGE.xml		trauma-contemporary				"SAGE Publications, Inc"	Monograph	6/04/2011	17/08/2012			Ringel			F
Sharpley - Travel and Tourism	9781446213810	http://knowledge.sagepub.com/view/travel-and-tourism/SAGE.xml	Sharpley	travel-and-tourism				SAGE Publications Ltd	Monograph	15/11/2006	19/06/2012						F
Briere - Treating Complex Trauma in Adolescents and Young Adults	9781452240497	http://knowledge.sagepub.com/view/treating-complex-trauma-in-adolescents-and-young-adults/SAGE.xml	Briere	treating-complex-trauma-in-adolescents-and-young-adults				"SAGE Publications, Inc"	Monograph	26/08/2011	19/06/2012						F
Levenson - Treating Nonoffending Parents in Child Sexual Abuse Cases: Connections for Family Safety	9781452229355	http://knowledge.sagepub.com/view/treating-nonoffending-parents-in-child-sexual-abuse-cases/SAGE.xml	Levenson	treating-nonoffending-parents-in-child-sexual-abuse-cases				"SAGE Publications, Inc"	Monograph	16/10/2000	19/06/2012						F
Strand - Treating Secondary Victims: Intervention with the Nonoffending Mother in the Incest Family	9781452229287	http://knowledge.sagepub.com/view/treating-secondary-victims/SAGE.xml	Strand	treating-secondary-victims				"SAGE Publications, Inc"	Monograph	6/09/2000	19/06/2012						F
Lichstein - Treatment of Late-Life Insomnia	9781452225555	http://knowledge.sagepub.com/view/treatment-of-late-life-insomnia/SAGE.xml		treatment-of-late-life-insomnia				"SAGE Publications, Inc"	Monograph	21/03/2000	21/12/2012			Lichstein			F
