publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
China and Asia	2589-4641	2589-465X	2019-01-01	1	1				https://brill.com/view/journals/cahs/cahs-overview.xml		cahs		fulltext			serial									new (2019)		2589-4641	2589-465X			2019-02-01		Current	
Chinese Journal of Environmental Law	2468-6034	2468-6042	2017-01-01	1	1				https://brill.com/view/journals/cjel/cjel-overview.xml		cjel		fulltext			serial									New for 2017		2468-6034	2468-6042			2017-08-01		Current	
East Asian Science, Technology, and Medicine	1562-918X	2666-9323	1999-01-01	16	1				https://brill.com/view/journals/east/east-overview.xml		east		fulltext			serial									previously: Chinese Science (ISSN: 0361-9001; 1975-1998)		1562-918X	2666-9323					Current	
Church History and Religious Culture	1871-241X	1871-2428	2006-06-01	86	1				https://brill.com/view/journals/chrc/chrc-overview.xml		chrc		fulltext			serial									previously: Nederlands Archief voor Kerkgeschiedenis Dutch Review of Church History		1871-241X	1871-2428					Current	
Climate Law	1878-6553	1878-6561	2010-01-01	1	1				https://brill.com/view/journals/clla/clla-overview.xml		clla		fulltext			serial											1878-6553	1878-6561					Current	
Cognitive Semantics	2352-6408	2352-6416	2015-01-01	1	1				https://brill.com/view/journals/cose/cose-overview.xml		cose		fulltext			serial									new: 2015		2352-6408	2352-6416					Current	
Comparative Political Theory	2666-9765	2666-9773	2021-01-01	1	1				https://brill.com/view/journals/cpt/cpt-overview.xml		cpt		fulltext			serial									content not yet available		2666-9765	2666-9773			2025-01-01		Expected	
Comparative Sociology	1569-1322	1569-1330	2002-01-01	1	1				https://brill.com/view/journals/coso/coso-overview.xml		coso		fulltext			serial									previously: International Journal of Comparative Sociology		1569-1322	1569-1330					Current	
Computing Letters	1574-0404		2005-01-01	1	1	2007-11-30	3	2	https://brill.com/view/journals/cole/cole-overview.xml		cole		fulltext			serial									ceased: 2007		1574-0404						Current	
Contemporary Pragmatism	1572-3429	1875-8185	2004-01-01	1	1				https://brill.com/view/journals/copr/copr-overview.xml		copr		fulltext			serial									transfer in (2015): Editions Rodopi		1572-3429	1875-8185					Current	
Contrastive Pragmatics	2666-0385	2666-0393	2020-01-01	1	1				https://brill.com/view/journals/jocp/jocp-overview.xml		jocp		fulltext			serial									New (2020)		2666-0385	2666-0393			2020-01-01		Current	
Contributions to Zoology	1383-4517	1875-9866	2000-01-01	69	1				https://brill.com/view/journals/ctoz/ctoz-overview.xml		ctoz		fulltext			serial									Open access		1383-4517	1875-9866			2020-01-01		Current	
Crossroads: An Interdisciplinary Journal of Asian Interactions	2190-8796	2666-2523	2021-01-20	19	1				https://brill.com/view/journals/cjai/cjai-overview.xml		cjai		fulltext			serial									Transfer in (2019):Grossheirath-Gossenberg Ostasien-Verl.		2190-8796	2666-2523			2020-01-01		Current	
Crustaceana	0011-216X	1568-5403	1960-01-01	1	1				https://brill.com/view/journals/cr/cr-overview.xml		cr		fulltext			serial											0011-216X	1568-5403					Current	
Culture and Dialogue	2222-3282	2468-3949	2016-01-01	4	1				https://brill.com/view/journals/cad/cad-overview.xml		cad		fulltext			serial									New for 2016		2222-3282	2468-3949			2016-10-01		Current	
Danish Yearbook of Philosophy	0070-2749	2468-9300	1990-01-01	25	1				https://brill.com/view/journals/dyp/dyp-overview.xml		dyp		fulltext			serial									New for 2017		0070-2749	2468-9300			2017-08-01		Current	
Daphnis	0300-693X	1879-6583	2000-01-01	29	1				https://brill.com/view/journals/daph/daph-overview.xml		daph		fulltext			serial									transfer in (2015): Editions Rodopi		0300-693X	1879-6583					Current	
Dead Sea Discoveries	0929-0761	1568-5179	1994-01-01	1	1				https://brill.com/view/journals/dsd/dsd-overview.xml		dsd		fulltext			serial											0929-0761	1568-5179					Current	
Die Welt des Islams	0043-2539	1570-0607	1951-01-01	1	1				https://brill.com/view/journals/wdi/wdi-overview.xml		wdi		fulltext			serial											0043-2539	1570-0607					Current	
Diplomatica	2589-1766	2589-1774	2019-01-01	1	1				https://brill.com/view/journals/dipl/dipl-overview.xml		dipl		fulltext			serial									new (2019)		2589-1766	2589-1774			2019-06-01		Current	
Early Science and Medicine	1383-7427	1573-3823	1996-01-01	1	1				https://brill.com/view/journals/esm/esm-overview.xml		esm		fulltext			serial											1383-7427	1573-3823					Current	
East Asian Publishing and Society	2210-6278	2210-6286	2011-01-01	1	1				https://brill.com/view/journals/eaps/eaps-overview.xml		eaps		fulltext			serial											2210-6278	2210-6286					Current	
East Central Europe	0094-3037	1876-3308	1975-01-01	2	1				https://brill.com/view/journals/eceu/eceu-overview.xml		eceu		fulltext			serial											0094-3037	1876-3308					Current	
Ecclesial Practices	2214-4463	2214-4471	2014-01-01	1	1				https://brill.com/view/journals/ep/ep-overview.xml		ep		fulltext			serial											2214-4463	2214-4471					Current	
Ecclesiology	1744-1366	1745-5316	2004-01-01	1	1				https://brill.com/view/journals/ecso/ecso-overview.xml		ecso		fulltext			serial											1744-1366	1745-5316					Current	
Emotions	2206-7485	2208-522X	2017-01-01	1	1				https://brill.com/view/journals/ehcs/ehcs-overview.xml		ehcs		fulltext			serial									transfer in (2018)		2206-7485	2208-522X					Current	
Endowment Studies	2468-595X	2468-5968	2017-01-01	1	1				https://brill.com/view/journals/ends/ends-overview.xml		ends		fulltext			serial									New for 2017		2468-595X	2468-5968			2017-08-01		Current	
Erasmus of Rotterdam Society Yearbook	0276-2854	1874-9275	1981-01-01	1	1				https://brill.com/view/journals/eras/eras-overview.xml		eras		fulltext			serial									now known as: Erasmus Studies (2018)		0276-2854	1874-9275					Current	
Erudition and the Republic of Letters	2405-5050	2405-5069	2016-01-01	1	1				https://brill.com/view/journals/erl/erl-overview.xml		erl		fulltext			serial									New for 2016		2405-5050	2405-5069			2016-02-01		Current	
Eurasian Studies	1722-0750	2468-5623	2015-01-01	13	1-2				https://brill.com/view/journals/eurs/eurs-overview.xml		eurs		fulltext			serial									New for 2017		1722-0750	2468-5623			2017-01-01		Current	
European Investment Law and Arbitration Review Online	2468-7413	2468-9017	2016-01-01	1	1				https://brill.com/view/journals/eilo/eilo-overview.xml		eilo		fulltext			serial											2468-7413	2468-9017					Current	
European Journal for the History of Medicine and Health	2666-7703	2666-7711	2021-01-01	78	1				https://brill.com/view/journals/ehmh/ehmh-overview.xml		ehmh		fulltext			serial									previously: Gesnerus (ISSN: 0016-9161; 1943-2020)		2666-7703	2666-7711					Current	
European Journal of Comparative Law and Governance	2213-4506	2213-4514	2014-01-01	1	1				https://brill.com/view/journals/ejcl/ejcl-overview.xml		ejcl		fulltext			serial									New for 2013		2213-4506	2213-4514					Current	
European Journal of Crime, Criminal Law and Criminal Justice	0928-9569	1571-8174	1993-01-01	1	1				https://brill.com/view/journals/eccl/eccl-overview.xml		eccl		fulltext			serial											0928-9569	1571-8174					Current	
European Journal of East Asian Studies	1568-0584	1570-0615	2002-06-01	1	1				https://brill.com/view/journals/ejea/ejea-overview.xml		ejea		fulltext			serial											1568-0584	1570-0615					Current	
European Journal of Health Law	0929-0273	1571-8093	1994-01-01	1	1				https://brill.com/view/journals/ejhl/ejhl-overview.xml		ejhl		fulltext			serial											0929-0273	1571-8093					Current	
European Journal of Jewish Studies	2213-4972	1872-471X	2007-03-01	1	1				https://brill.com/view/journals/ejjs/ejjs-overview.xml		ejjs		fulltext			serial											2213-4972	1872-471X					Current	
European Journal of Migration and Law	1388-364X	1571-8166	1999-01-01	1	1				https://brill.com/view/journals/emil/emil-overview.xml		emil		fulltext			serial											1388-364X	1571-8166					Current	
European Review of International Studies	2196-6923	2196-7415	2014-01-01	1	1				https://brill.com/view/journals/eris/eris-overview.xml		eris		fulltext			serial											2196-6923	2196-7415					Current	
European Yearbook of Minority Issues Online		2211-6117	2001-01-01	1	1				https://brill.com/view/journals/ymio/ymio-overview.xml		ymio		fulltext			serial												2211-6117					Current	
Exchange	0166-2740	1572-543X	1972-01-01	1	1				https://brill.com/view/journals/exch/exch-overview.xml		exch		fulltext			serial											0166-2740	1572-543X					Current	
Experiment	1084-4945	2211-730X	1996-01-01	2	1				https://brill.com/view/journals/expt/expt-overview.xml		expt		fulltext			serial									content to be loaded - back volumes in process of digitization		1084-4945	2211-730X					Current	
Explorations in Renaissance Culture	0098-2474	2352-6963	1974-01-01	1	1				https://brill.com/view/journals/erc/erc-overview.xml		erc		fulltext			serial									transfer in (2015): South Central Renaissance Conference		0098-2474	2352-6963			2015-01-01		Current	
Faits de Langues	1244-5460	1958-9514	2004-01-01	23	1				https://brill.com/view/journals/fdl/fdl-overview.xml		fdl		fulltext			serial									transfer in (2019): Peter Lang AG		1244-5460	1958-9514					Current	
Fascism	2211-6249	2211-6257	2012-01-01	1	1				https://brill.com/view/journals/fasc/fasc-overview.xml		fasc		fulltext			serial									Open Access		2211-6249	2211-6257					Current	
