publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
book	Nelson Essentials of Pediatrics	9780323775625		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190012800	Marcdante	3-s2.0-C20190012800		fulltext		Elsevier
book	Nephrology Secrets	9780323478717		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150066047	Sabath	3-s2.0-C20150066047		fulltext		Elsevier
book	Netter Atlas of Human Anatomy: A Systems Approach	9780443287985		2027						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2023050655X	Netter	3-s2.0-C2023050655X		fulltext		Elsevier
book	Netter Atlas of Human Anatomy: Classic Regional Anatomy Approach	9780323680424		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180044345	Netter	3-s2.0-C20180044345		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Cardiovascular System	9780323881296		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012918	Netter	3-s2.0-C20210012918		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Digestive System, Part I - Upper Digestive Tract	9780323881302		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012931	Netter	3-s2.0-C20210012931		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Digestive System, Part II – Lower Digestive Tract	9780323881319		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012943	Netter	3-s2.0-C20210012943		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Digestive System, Part III – Liver, Biliary Tract, and Pancreas	9780323880909		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012955	Netter	3-s2.0-C20210012955		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Endocrine System	9780323881265		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012852	Netter	3-s2.0-C20210012852		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Integumentary System	9780323880893		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2021001292X	Netter	3-s2.0-C2021001292X		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Musculoskeletal System, Part I - Upper Limb	9780323880886		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2021001289X	Netter	3-s2.0-C2021001289X		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Musculoskeletal System, Part II - Spine and Lower Limb	9780323881289		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012906	Netter	3-s2.0-C20210012906		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Musculoskeletal System, Part III - Biology and Systemic Diseases	9780323880879		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012888	Netter	3-s2.0-C20210012888		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Nervous System, Part I - Brain	9780323880848		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012839	Netter	3-s2.0-C20210012839		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Nervous System, Part II - Spinal Cord and Peripheral Motor and Sensory Systems	9780323880855		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012840	Netter	3-s2.0-C20210012840		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Reproductive System	9780323880831		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012773	Netter	3-s2.0-C20210012773		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Respiratory System	9780323881272		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012876	Netter	3-s2.0-C20210012876		fulltext		Elsevier
book	Netter Collection of Medical Illustrations: Urinary System	9780323880862		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210012864	Netter	3-s2.0-C20210012864		fulltext		Elsevier
book	Netter Moving AnatoME	9780323567336		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160035386	Marango	3-s2.0-C20160035386		fulltext		Elsevier
book	Netter's Anatomy Flash Cards	9780323834179		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200019080	Hansen	3-s2.0-C20200019080		fulltext		Elsevier
book	Netter's Atlas of Human Embryology	9780443117619		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220019620	Cochard	3-s2.0-C20220019620		fulltext		Elsevier
book	Netter's Atlas of Neuroscience	9780323756549		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180056170	Felten	3-s2.0-C20180056170		fulltext		Elsevier
book	Netter's Cardiology	9780323547260		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160013360	El Sakr	3-s2.0-C20160013360		fulltext		Elsevier
book	Netter's Clinical Anatomy	9780323826624		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200019894	Hansen	3-s2.0-C20200019894		fulltext		Elsevier
book	Netter's Clinical Skills	9780323551649		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160039852	Rosenberg	3-s2.0-C20160039852		fulltext		Elsevier
book	Netter's Concise Radiologic Anatomy	9780323625326		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170047572	Weber	3-s2.0-C20170047572		fulltext		Elsevier
book	Netter's Dissection Video Modules	9780323315326		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150020536	Netter	3-s2.0-C20150020536		fulltext		Elsevier
book	Netter's Essential Biochemistry	9781929007639		2018						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20090369688	Ronner	3-s2.0-C20090369688		fulltext		Elsevier
book	Netter's Essential Histology	9780323694643		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180016448	Ovalle	3-s2.0-C20180016448		fulltext		Elsevier
book	Netter's Essential Physiology	9780443113635		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220012393	Mulroney	3-s2.0-C20220012393		fulltext		Elsevier
book	Netter's Gastroenterology	9780323596244		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170002574	Pitchumoni	3-s2.0-C20170002574		fulltext		Elsevier
book	Netter's Illustrated Human Pathology	9780323220897		2014						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20130002551	Buja	3-s2.0-C20130002551		fulltext		Elsevier
book	Netter's Infectious Disease	9780323711593		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180018745	Stevens	3-s2.0-C20180018745		fulltext		Elsevier
book	Netter's Integrated Musculoskeletal System	9780323696616		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170010017	Ward	3-s2.0-C20170010017		fulltext		Elsevier
book	Netter's Integrated Review of Medicine	9780323479387		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150055058	Kelly	3-s2.0-C20150055058		fulltext		Elsevier
book	Netter's Neurology	9780323554763		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160032825	Aquino	3-s2.0-C20160032825		fulltext		Elsevier
book	Netter's Neuroscience Flash Cards	9780323756433		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190002919	Felten	3-s2.0-C20190002919		fulltext		Elsevier
book	Netter's Obstetrics and Gynecology	9780443107399		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220002282	Smith	3-s2.0-C20220002282		fulltext		Elsevier
book	Netter's Orthopaedic Clinical Examination	9780323695336		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180022185	Cleland	3-s2.0-C20180022185		fulltext		Elsevier
book	Netter's Pediatrics	9780323796088		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180018940	Grimes	3-s2.0-C20180018940		fulltext		Elsevier
book	Netter's Photographic Anatomy Companion	9780323825405		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190055264	Loukas	3-s2.0-C20190055264		fulltext		Elsevier
book	Netter's Physiology Flash Cards	9780443113444		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220012460	Mulroney	3-s2.0-C20220012460		fulltext		Elsevier
book	Netter's Surgical Anatomy and Approaches	9780323673464		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2018000448X	O’Halloran	3-s2.0-C2018000448X		fulltext		Elsevier
book	Netter’s Advanced Head and Neck Flash Cards	9780323442794		2017						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150006487	Norton	3-s2.0-C20150006487		fulltext		Elsevier
book	Netter’s Essential Systems-Based Anatomy	9780323694971		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180026973	Lyons	3-s2.0-C20180026973		fulltext		Elsevier
book	Netter’s Histology Flash Cards	9780323709675		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180016734	Ovalle	3-s2.0-C20180016734		fulltext		Elsevier
book	Netter’s Introduction to Clinical Procedures	9780323370554		2017						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20140022381	Loukas	3-s2.0-C20140022381		fulltext		Elsevier
book	Neurology Secrets	9780323359481		2017						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20120061583	Cohen	3-s2.0-C20120061583		fulltext		Elsevier
book	Neurology Secrets	9780443127274		2027						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190040216	Krishnan	3-s2.0-C20190040216		fulltext		Elsevier
book	Nolte's Essentials of the Human Brain	9780323529310		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160009890	Vanderah	3-s2.0-C20160009890		fulltext		Elsevier
book	Nolte's The Human Brain in Photographs and Diagrams	9780323598163		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170008030	Vanderah	3-s2.0-C20170008030		fulltext		Elsevier
book	Nolte's The Human Brain	9780443126864		2026						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20230000346	Vanderah	3-s2.0-C20230000346		fulltext		Elsevier
book	Ob/Gyn Secrets	9780323399227		2017						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20090356731	Sundheimer	3-s2.0-C20090356731		fulltext		Elsevier
book	Obstetrics & Gynecology Morning Report: Beyond the Pearls	9780323496131		2018						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160000864	Kanter	3-s2.0-C20160000864		fulltext		Elsevier
book	On Call Neurology	9780323546942		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150066370	Mayer	3-s2.0-C20150066370		fulltext		Elsevier
book	On Call Pediatrics	9780323529051		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150066382	Wilkinson	3-s2.0-C20150066382		fulltext		Elsevier
book	On Call Principles and Protocols	9780443111044		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220008564	Marshall	3-s2.0-C20220008564		fulltext		Elsevier
book	On Call Psychiatry	9780323531092		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150066400	Bernstein	3-s2.0-C20150066400		fulltext		Elsevier
book	On Call Surgery	9780323528894		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150066424	Adams	3-s2.0-C20150066424		fulltext		Elsevier
book	Ophthalmology Secrets	9780323661881		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180011731	Yeager	3-s2.0-C20180011731		fulltext		Elsevier
book	OSCE and Clinical Skills Handbook	9781926648156		2011						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20090634462	Mengual	3-s2.0-C20090634462		fulltext		Elsevier
book	Pain Management Secrets	9780323277914		2018						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20120061509	Gruenthal	3-s2.0-C20120061509		fulltext		Elsevier
book	Pathology Case Reports: Beyond the Pearls	9780323754897		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2019000547X	Reyes	3-s2.0-C2019000547X		fulltext		Elsevier
