publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status		coverage_notes
Camden Fourth Series	0068-6905	2051-1701	1964-07-01	1		1992-07-01	44		http://www.cambridge.org/core/product/5E71C2A52AD5CAEB2749473711BBA863		20992		fulltext	now: Camden Fifth Series 1993- ;previously: Camden Fourth Series 1969-1993; Camden Third Series 1900-1963; Camden New Series 1872-1901; Camden Old Series 1838-1872		serial										0068-6905	2051-1701					Current		
Camden Third Series	2042-1710		1900-07-01	1		1963-12-01	94		http://www.cambridge.org/core/product/135CE0C865C815ADCFBCE7CB52BF7ACF		20993		fulltext	now: Camden Fifth Series 1993- ;previously: Camden Fourth Series 1969-1993; Camden Third Series 1900-1963; Camden New Series 1872-1901; Camden Old Series 1838-1872		serial										2042-1710						Current		
Camden New Series	2042-1702		1872-03-01	1		1901-12-01	62		http://www.cambridge.org/core/product/9666A1DDBEA0833FDC6777B01BF5EFAB		20994		fulltext	now: Camden Fifth Series 1993- ;previously: Camden Fourth Series 1969-1993; Camden Third Series 1900-1963; Camden New Series 1872-1901; Camden Old Series 1838-1872		serial										2042-1702						Current		
Camden Old Series	2042-1699		1838-04-01	1		1872-12-01	106		http://www.cambridge.org/core/product/D31C6EA940BA40A21E1A8A3621AA0F2F		20995		fulltext	now: Camden Fifth Series 1993- ;previously: Camden Fourth Series 1969-1993; Camden Third Series 1900-1963; Camden New Series 1872-1901; Camden Old Series 1838-1872		serial										2042-1699						Current		
Urban History Yearbook	0306-0845		1974-05-01	1		1991-05-01	18		http://www.cambridge.org/core/product/923A3D28AA1075F462BC003C543FC57D		20997		fulltext	now: Urban History 1992-		serial										0306-0845						Current		
American Journal of Alternative Agriculture	0889-1893	1478-5498	1986-03-01	1	2	2003-12-01	18	4	http://www.cambridge.org/core/product/D2EB0D67B25BBA794F382426C333CAD4		20998		fulltext	now: Renewable Agriculture and Food Systems 2004-		serial										0889-1893	1478-5498					Current		
Fetal Medicine Review	0953-8267		1989-01-01	1	1	1991-07-01	3	2	http://www.cambridge.org/core/product/6A5D206814D112F7A7988E81355BB065		20999		fulltext	now: Fetal and Maternal Medicine Review 1992-		serial										0953-8267						Current		
Mathematical Notes (Edinburgh)	1757-7489		1909-04-01	1		1937-12-01	30		http://www.cambridge.org/core/product/E1660EED8364E6FA7936A8537A53C08D		21000		fulltext	now: Edinburgh Mathematical Notes 1939-1961		serial										1757-7489						Current		
Journal of the Australian Mathematical Society. Series A. Pure Mathematics and Statistics	0263-6115		1980-01-01	29	1	2000-12-01	69	3	http://www.cambridge.org/core/product/0A3E42691153E44B30DA457FD663F057		21001		fulltext	now: Journal of the Australian Mathematical Society 2001- ; previously: Journal of the Australian Mathematical Society. Series A, Pure Mathematics and Statistics 1980-2000; Journal of the Australian Mathematical Society. Series A, Pure Mathematics 1975-1979; Journal of the Australian Mathematical Society (1959) 1959-1974		serial										0263-6115						Current		
Journal of the Australian Mathematical Society. Series A. Pure Mathematics	0334-3316		1975-01-01	19	1	1979-12-01	28	4	http://www.cambridge.org/core/product/0A3E42691153E44B30DA457FD663F057		21002		fulltext	now: Journal of the Australian Mathematical Society 2001- ; previously: Journal of the Australian Mathematical Society. Series A, Pure Mathematics and Statistics 1980-2000; Journal of the Australian Mathematical Society. Series A, Pure Mathematics 1975-1979; Journal of the Australian Mathematical Society (1959) 1959-1974		serial										0334-3316						Current		
Journal of the Australian Mathematical Society (1959)	0004-9735		1959-08-01	1	1	1974-12-01	18	4	http://www.cambridge.org/core/product/0A3E42691153E44B30DA457FD663F057		21003		fulltext	split: Journal of the Australian Mathematical Society. Series A, Pure mathematics and Journal of the Australian Mathematical Society. Series B. Applied mathematics		serial										0004-9735						Current		
The Journal of the Australian Mathematical Society. Series B. Applied Mathematics	0334-2700	1839-4078	1975-06-01	19	1	2000-04-01	41	4	http://www.cambridge.org/core/product/5EF1895400DDCBB52E58BD894F3DD6A3		21004		fulltext	now: The ANZIAM journal 2000- ; previously: Journal of the Australian Mathematical Society. Series B. Applied Mathematics 1975-2000; Journal of the Australian Mathematical Society 1959-1974		serial										0334-2700	1839-4078					Current		
Journal of Roman Archaeology	1047-7594	2331-5709	2013-11-01	26		2015-12-31	28		http://www.cambridge.org/core/product/6416A125CE6B7CE18129EE0692D0C8B8		21023		fulltext			serial										1047-7594	2331-5709					Current		
Proceedings of the London Mathematical Society	0024-6115	1460-244X	1997-01-01	74	1	2006-11-01	93	3	http://www.cambridge.org/core/product/2CA3002C553DD8479215C5765E7E3D76		2134		fulltext	transfer out: Oxford University Press 2007		serial										0024-6115	1460-244X					Current		
MRS Energy & Sustainability	2329-2229	2329-2237	2014-01-01	1					http://www.cambridge.org/core/product/73764C4310FA61AFA3B29ABFE7CCE068		21846		fulltext			serial										2329-2229	2329-2237					Current		
Netherlands Journal of Geosciences	0016-7746	1573-9708	2009-03-01	88	1				http://www.cambridge.org/core/product/8C3B5CF0FE961741867DC17FA6BDB2CB		21847		fulltext	new:2014		serial										0016-7746	1573-9708					Current		
Ramus: Critical Studies in Greek and Roman Literature	0048-671X	2202-932X	1972-01-01	1					http://www.cambridge.org/core/product/9F77D8AA9B7432C83A82D96DF52C0B4C		21848		fulltext	new:2014		serial										0048-671X	2202-932X					Current		
Early China	0362-5028	2325-2324	1975-09-01	1					http://www.cambridge.org/core/product/D3749FF0209B9D4233EE31743B84AD0D		21849		fulltext	new: 2014 ;previously: Newsletter Society for the Study of Pre-Han China 1969-1974		serial										0362-5028	2325-2324					Current		
Journal of East Asian Studies	1598-2408	2234-6643	2001-02-01	1	1				http://www.cambridge.org/core/product/C00DCC5ECB292E05A3AEB2B8213B934C		21998		fulltext	transfer in (2016)		serial										1598-2408	2234-6643					Current		
Antichthon	0066-4774	2056-8819	1967-01-01	1					http://www.cambridge.org/core/product/2512386A50F4FEF9FF85514E2E8969D3		22110		fulltext	transfer in (2015): Australasian Society for Classical Studies.		serial										0066-4774	2056-8819			2015-01-01		Current		
American Journal of Germanic Linguistics and Literatures	1040-8207		1989-01-01	1	1	2000-07-01	12	2	http://www.cambridge.org/core/product/992454E1DF063B47C03AE08D10BB8DC7		22359		fulltext	now: Journal of Germanic Linguistics (2001-)		serial										1040-8207						Current		
History of Economics Society Bulletin	1042-7716		1979-01-01	1	2	1989-09-01	11	2	http://www.cambridge.org/core/product/DE90B213159AC189FBBDD434E081B982		22360		fulltext	now: Journal of the History of Economic Thought 1990-		serial										1042-7716						Current		
Language Teaching and Linguistics: Abstracts	0306-6304		1975-01-01	8	1	1981-10-01	14	4	http://www.cambridge.org/core/product/4AB260C46D6BB16AEBEF52DCCDEB7FA3		22365		fulltext	now: Language Teaching 1982- ;previously: Lanaguage Teaching & Linguistics: Abstracts 1975-1981; Lanaguage Teaching: Abstracts 1968-1974		serial										0306-6304						Current		
Language Teaching: Abstracts	0023-8279		1968-01-01	1	1	1974-10-01	7	4	http://www.cambridge.org/core/product/4AB260C46D6BB16AEBEF52DCCDEB7FA3		22366		fulltext	now: Language Teaching 1982- ;previously: Lanaguage Teaching & Linguistics: Abstracts 1975-1981; Lanaguage Teaching: Abstracts 1968-1974		serial										0023-8279						Current		
Proceedings of the Cambridge Philosophical Society	0008-1981		1924-02-01	22	1	1974-11-01	76	3	http://www.cambridge.org/core/product/1DB6B7AFEC65005D2CC9FEDB8BDDCFD3		22367		fulltext	now: Mathematical Proceedings of the Cambridge Philosophical Society 1975		serial										0008-1981						Current		
Nederlands Tijdschrift voor Internationaal Recht	0028-2138		1953-03-01	1	1	1974-12-01	21	3	http://www.cambridge.org/core/product/8C1A6B48B4D015F24A701C9FFEA38F39		22368		fulltext	transfer out (2015): Springer. now: Netherlands International Law Review 1975-		serial										0028-2138						Current		
Royal Institute of Philosophy Lecture Series	0957-042X		1982-03-01	13		1989-03-01	26		http://www.cambridge.org/core/product/BDDF103C2EE46E85E79869B02CD53A6E		22373		fulltext	now: Royal Institute of Philosophy Supplements 1990- ;previously: Royal Institute of Philosophy Lecture Series 1982-1989; previously: Royal Institute of Philosophy Lectures 1968-1978		serial										0957-042X						Current		
Royal Institute of Philosophy Lectures	0080-4436		1968-03-01	1		1978-03-01	12		http://www.cambridge.org/core/product/BDDF103C2EE46E85E79869B02CD53A6E		22374		fulltext	now: Royal Institute of Philosophy Supplements 1990- ;previously: Royal Institute of Philosophy Lecture Series 1982-1989; previously: Royal Institute of Philosophy Lectures 1968-1978		serial										0080-4436						Current		
The Journal of the Institute of Navigation	0020-3009		1948-01-01	1	1	1971-10-01	24	4	http://www.cambridge.org/core/product/41903E2BE4F4E384D1B9DEC40DB6DBAE		22375		fulltext	now: The Journal of Navigation 1972-		serial										0020-3009						Current		
Bulletin of the Hegel Society of Great Britain	0263-5232		2010-01-01	31	61	2012-01-01	33	66	http://www.cambridge.org/core/product/6B7E5895BA3B771738D118BC437247EE		22681		fulltext	now: Hegel Bulletin 2013-		serial										0263-5232						Current		
Twin Research	1369-0523	2053-6003	1998-02-01	1	1	2004-12-01	7	6	http://www.cambridge.org/core/product/958451CB98D66B26DFFBB6FA888830BD		22682		fulltext	now: Twin Research and Human Genetics 2005-		serial										1369-0523	2053-6003					Current		
Breast Cancer Online		1470-9031	2004-09-29	7	9	2009-08-01	12	8	http://www.cambridge.org/core/product/C94A3336C65F13B52C3A9CA9D804A29B		23831		fulltext	ceased: 2009		serial											1470-9031					Current		
Chinese Journal of Agricultural Biotechnology	1479-2362	1479-2370	2004-04-01	6	1	2009-12-01	6	3	http://www.cambridge.org/core/product/A6957EF97E96BE9AA2A887AAACED1BBF		23832		fulltext	ceased:2009		serial										1479-2362	1479-2370					Current		
Nurse Prescriber		1467-1158	2004-01-01	1	1	2005-06-01	2	6	http://www.cambridge.org/core/product/3A486923CE0359368619DE621EF693E2		23833		fulltext	ceased: 2005		serial											1467-1158					Current		
Australasian Journal of Organisational Psychology		2054-2232	2013-01-01	6					http://www.cambridge.org/core/product/522E9A72C1F7C900838E01A266E549D8		24338		fulltext	previously: Australian and New Zealand Journal of Organisational Psychology 2008-2013		serial											2054-2232					Current		
British Catholic History	2055-7973	2055-7981	2015-05-01	32	3				http://www.cambridge.org/core/product/451B066B0AD3A740C6BC452FD70E02AF		24339		fulltext	transfer in (2015). previously: Recusant History (ISSN 0034-1932]. 		serial										2055-7973	2055-7981			2015-01-01		Current		
Global Mental Health		2054-4251	2014-01-01	1					http://www.cambridge.org/core/product/0ED89DDEA3AE758E19BA3F5FA74ECDE4		24340		fulltext	New open access (2014-2015)		serial											2054-4251					Current		
Journal of Demographic Economics	2054-0892	2054-0906	2015-03-01	81					http://www.cambridge.org/core/product/BC9312F09CDAF972A0F2AB44D1C5249A		24341		fulltext	Transfer in (2015)		serial										2054-0892	2054-0906			2015-01-01		Current		
Journal of the American Philosophical Association	2053-4477	2053-4485							http://www.cambridge.org/core/product/2ED07D9487008A8D938A1B0F11FD052B		24342		fulltext	New for 2015		serial										2053-4477	2053-4485			2015-01-01		Current		
Animal Science	1357-7298		1995-02-01	60	1	2006-12-01	82	6	http://www.cambridge.org/core/product/EC1342202B39D341CB2EDA80479846B2		24858		fulltext	now: Animal 2007- ;previously: Animal Science 1995-2006; Animal Production 1959-1995		serial										1357-7298						Current		
Archaeologia	0261-3409		1770-01-01	1	1	1992-01-01	110		http://www.cambridge.org/core/product/3FE3FEE2AFD48FB8F10AB01F8CDD5A3E		24859		fulltext	ceased		serial										0261-3409						Current		
BSAP Occasional Publication	0263-967X		1978-01-01	1					http://www.cambridge.org/core/product/AB5B0B0B43DD4355FACA7934BA369A62		24860		fulltext			serial										0263-967X						Current		
Bulletin of The Natural History Museum. Botany Series	0968-0446	1475-2956	2002-06-27	32	1	2002-11-28	32	2	http://www.cambridge.org/core/product/9395F2F381EFF759537EAA20E7BFC5F6		24861		fulltext	now: Systematics and BioDiversity 2003-		serial										0968-0446	1475-2956					Current		
Bulletin of The Natural History Museum. Entomology Series	0968-0454	1475-2964	2002-06-27	71	1	2002-11-28	71	2	http://www.cambridge.org/core/product/472A5685ADE0FBDFB584EB33CF3D6E0D		24862		fulltext	now: Systematics and BioDiversity 2003-		serial										0968-0454	1475-2964					Current		
Bulletin of The Natural History Museum. Geology Series	0968-0462	1475-2972	2002-06-27	58	1	2003-06-26	58	1	http://www.cambridge.org/core/product/AE8FF85B03A92DCAB9D887360B2392D4		24863		fulltext	now: Systematics and BioDiversity 2003-		serial										0968-0462	1475-2972					Current		
Bulletin of The Natural History Museum. Zoology Series	0968-0470	1475-2980	2002-06-27	68	1	2002-11-28	68	2	http://www.cambridge.org/core/product/483C28E6688117AB3815D3140D6CAE17		24864		fulltext	now: Systematics and BioDiversity 2003-		serial										0968-0470	1475-2980					Current		
Canadian Entomologist. Supplement	0700-5415		1955-01-01	87	S1	1963-12-01	95	S32	http://www.cambridge.org/core/product/516F503B33DAA02E4597C51B93867E17		24865		fulltext	ceased: previously Memoirs of the Entomological Society of Canada 1964-1997		serial										0700-5415						Current		
Dialogue IO	#7777-7777	#1111-1111	2002-01-01	1	1	2002-01-01	1	1	http://www.cambridge.org/core/product/A3414F2E5FB4D089D20A70EF16342E2A		24866		fulltext	ceased: 2003		serial										7777-7777	1111-1111					Current		
Epidemiologia e Psichiatria Sociale: Monograph Supplement	1827-4331		1997-04-01	1		2004-09-01	13		http://www.cambridge.org/core/product/E1B5DA4DE18785889FDBF8BB3FC6AC1B		24867		fulltext			serial										1827-4331						Current		
Insect Science and Its Application	0191-9040		1980-03-01	1	1	2003-12-01	23	4	http://www.cambridge.org/core/product/3B07FE4DBA4E4CBE3987E74FF43BCCBE		24868		fulltext	now: International Journal of Tropical Insect Science 2004-		serial										0191-9040						Current		
Journal of Advertising Research	0021-8499	1740-1909	1996-01-01	36	1	2005-12-01	45	4	http://www.cambridge.org/core/product/40E16FFD7D658E5ACE9A60EDCFE8D86B		24869		fulltext	transfer out: World Advertising Research Center 2006		serial										0021-8499	1740-1909					Current		
Journal of Diagnostic Radiography and Imaging	1460-4728	1467-1123	2003-09-01	5	1	2006-03-01	6	1	http://www.cambridge.org/core/product/2871EDFA51D6B5D174602970FD0138E8		24870		fulltext	ceased: 2006		serial										1460-4728	1467-1123					Current		
Journal of the Microscopy Society of America	1079-8501		1995-02-01	1	1	1996-06-01	2	3	http://www.cambridge.org/core/product/46A68817739E3CF51330D63AE878152D		24871		fulltext	now: Microscopy and Microanalysis 1997-		serial										1079-8501						Current		
Journal of the World Association for Emergency and Disaster Medicine	0882-7397		1985-01-01	1	S1	1987-12-01	3	2	http://www.cambridge.org/core/product/8469968A8290DADF03863DDCD42A83CD		24872		fulltext	now: Prehospital and Disaster Medicine 1989-		serial										0882-7397						Current		
LMS Journal of Computation and Mathematics	1461-1570		1998-01-01	1					http://www.cambridge.org/core/product/8665D2FEA4A28CAA1E5CF0D57EC84FBE		24873		fulltext	free online journal		serial										1461-1570						Current		
Memoirs of the Entomological Society of Canada	0071-075X		1964-01-01	96	S1	1997-01-01	129	171	http://www.cambridge.org/core/product/516F503B33DAA02E4597C51B93867E17		24874		fulltext	ceased: previously: Canadian Entomologist. Supplement 1955-1963		serial										0071-075X						Current		
Newsletter Society for the Study of Pre-Han China	0361-9613		1969-02-01	1		1974-09-01	4		http://www.cambridge.org/core/product/D3749FF0209B9D4233EE31743B84AD0D		24875		fulltext	now: Early China 1975-		serial										0361-9613						Current		
Proceedings of the British Society of Animal Production (1972)	0308-2296	2053-5880	1972-01-01	1		1972-01-31	4		http://www.cambridge.org/core/product/B8047F5C8127D2C43C98A1168E4F5F94		24876		fulltext	ceased.		serial										0308-2296	2053-5880					Current		
Proceedings of the Glasgow Mathematical Association	2040-6185	2051-2104	1952-01-01	1	1	1966-07-01	7	4	http://www.cambridge.org/core/product/F540DDA3163755309932B0C002B66FEE		24877		fulltext	now: Glasgow Mathematical Journal 1967-		serial										2040-6185	2051-2104					Current		
Proceedings of the Prehistoric Society of East Anglia	0958-8418		1911-01-01	1	1	1934-01-01	7	3	http://www.cambridge.org/core/product/404998E0E254C9D61CB1B2D9EE5A0710		24878		fulltext	now: Proceedings of the Prehistoric Society 1935-		serial										0958-8418						Current		
Proceedings. Section A, Mathematical and Physical Sciences	0080-4541		1941-01-01	61	1	1974-01-01	71	4	http://www.cambridge.org/core/product/0443F6328D5DFE18F115A1E4C38C5654		24879		fulltext	now: Proceedings. Section A. Mathematics 1974-		serial										0080-4541						Current		
Proceedings. Section B, Natural Environment	0308-2113		1975-01-01	75	1	1976-01-01	75	4	http://www.cambridge.org/core/product/8272B91E42AAA771383D798664E210E5		24880		fulltext	now: Proceedings. Section B, Biological sciences 1978-1996; previously: Proceedings. Section B, Natural environment 1975-1976; Proceedings of the Royal Society of Edinburgh Section B: Biology 1978-1996		serial										0308-2113						Current		
Proceedings of the Royal Society of Edinburgh Section B: Biological Sciences	0269-7270		1978-01-01	76	1	1996-01-01	104	4	http://www.cambridge.org/core/product/8272B91E42AAA771383D798664E210E5		24881		fulltext	previously: Proceedings. Section B, Natural environment 1975-1976; Proceedings of the Royal Society of Edinburgh Section B: Biology 1978-1996		serial										0269-7270						Current		
Proceedings. Section B, Biology	0080-455X		1941-01-01	61	1	1974-01-01	74	4	http://www.cambridge.org/core/product/8272B91E42AAA771383D798664E210E5		24882		fulltext	now: Proceedings. Section B, Biological sciences 1978-1996; previously: Proceedings. Section B, Natural environment 1975-1976		serial										0080-455X						Current		
Proceedings of the Society of Antiquaries of London	0950-7973		1849-01-01	1	1	1920-01-01	32		http://www.cambridge.org/core/product/45FD7F358EE91198700ABC2781EB0973		24883		fulltext	now: Antiquaries Journal 1921-		serial										0950-7973						Current		
Progress in Neurotherapeutics and Neuropsychopharmacology	1748-2321	1748-233X	2006-01-01	1	1	2008-01-31	3		http://www.cambridge.org/core/product/C3D79AD7EC6C9EDD21CB329C557420E8		24884		fulltext			serial										1748-2321	1748-233X					Current		
The Chinese Journal of Mechanics: Series A	1680-0893		1998-03-01	14	1	2003-12-01	19	4	http://www.cambridge.org/core/product/58A0BE6402BAD2C5BB5C54DCC87FF049		24885		fulltext	now: Journal of Mechanics 2004-		serial										1680-0893						Current		
Transactions of the Actuarial Society of Edinburgh	2046-0562		1886-01-01	1		1901-01-01	4		http://www.cambridge.org/core/product/6C791F8602C89A202EBEADCB6E854F64		24886		fulltext	now: Transactions of the Faculty of Actuaries 1901-1994		serial										2046-0562						Current		
Advances in Applied Mathematics and Mechanics	2070-0733	2075-1354	2011-01-01	3	1				http://www.cambridge.org/core/product/B0A09B88759FBABA4337EE15CC983684		27653		fulltext	transfer in (2015):		serial										2070-0733	2075-1354			2015-01-01		Current		
Recusant History	0034-1932		1957-05-01	4	1	2014-10-31	32	2	http://www.cambridge.org/core/product/451B066B0AD3A740C6BC452FD70E02AF		27656		fulltext	transfer in (2015):..now: British Catholic History		serial										0034-1932				2015-01-01		Current		
Canadian Journal of Law and Jurisprudence	0841-8209	2056-4260	1988-01-01	1	1				http://www.cambridge.org/core/product/E001B222452BDCCBA6F529007A97BC3B		27657		fulltext	transfer in (2015)		serial										0841-8209	2056-4260			2015-01-01		Current		
Canadian Journal of Neurological Sciences	0317-1671	2057-0155	1974-02-01	1	1				http://www.cambridge.org/core/product/A15C3D1075D5ECE8B8BA8069337C929A		27658		fulltext	transfer in (2015). free access from 1974		serial										0317-1671	2057-0155			2015-01-01		Current		
Canadian Journal of Emergency Medicine	1481-8035	1481-8043	1999-04-01	1	1				http://www.cambridge.org/core/product/83AB9BA917FC860D3AC3704E05FB9A17		27659		fulltext	New to Cambridge for 2015. free from 1999		serial										1481-8035	1481-8043			2015-01-01		Current		
Communications in Computational Physics	1815-2406	1991-7120	2011-01-01	9	1				http://www.cambridge.org/core/product/2347276FD15620D32A3A0BC48BC25E80		27660		fulltext	New to Cambridge for 2015.		serial										1815-2406	1991-7120			2015-01-01		Current		
Design Science		2053-4701	2015-01-01	1					http://www.cambridge.org/core/product/9D8DE026CED0032EB221A456D2E108B3		27661		fulltext	transfer in (2015). open access		serial											2053-4701			2015-01-01		Current		
East Asian Journal on Applied Mathematics	2079-7362	2079-7370	2011-02-01	1	1				http://www.cambridge.org/core/product/3B473323DFEF6BC26344ED7158C3B7DA		27662		fulltext	New to Cambridge for 2015.		serial										2079-7362	2079-7370			2015-01-01		Current		
Journal of Agricultural and Applied Economics	1074-0708	2056-7405	1993-01-01	25	1				http://www.cambridge.org/core/product/EDF72769F6EC814DDCA54A079393F568		27676		fulltext	New to Cambridge for 2015. Change to Gold Open Access. previously: Southern Journal of Agricultural Economics Volumes 1 (1969) - 24 (1992)		serial										1074-0708	2056-7405			2015-01-01		Current		
New Perspectives on Turkey	0896-6346	1305-3299	1987-01-01	1					http://www.cambridge.org/core/product/FAFDD73835D55B302E8F1C7900964198		27697		fulltext	transfer in (2015)		serial										0896-6346	1305-3299			2015-01-01		Current		
Numerical Mathematics: Theory, Methods and Applications	1004-8979	2079-7338	2011-02-01	4	1				http://www.cambridge.org/core/product/DA5A43AECA01CB4DA82F189FED284FD1		27698		fulltext	transfer in (2015)		serial										1004-8979	2079-7338			2015-01-01		Current		
Parasitology Open		2055-7094	2015-01-01	1					http://www.cambridge.org/core/product/CF66A3DE13C940970959E6A8BF0C2241		27699		fulltext	New to Cambridge for 2015. Open Access.		serial											2055-7094			2015-01-01		Current		
Materials Research Society Newsletter	0961-5172		1975-01-01	1		1980-11-30	6		http://www.cambridge.org/core/product/D9E6326A1EB3645E023732226550FFF3		27741		fulltext	now: MRS Bulletin		serial										0961-5172						Current		
ARLIS Newsletter	0306-2228		1969-01-01		1	1976-03-01		26	http://www.cambridge.org/core/product/0CAD215B4D10CE0941835947A90CDFEB		32875		fulltext	now: Art Libraries Journal. Content not yet available		serial										0306-2228						Current		
BJHS Themes	2058-850X	2056-354X	2016-01-01	1					http://www.cambridge.org/core/product/ABBDEA650BCCD46B8043A7179A30C29A		32876		fulltext	new 2016. open access.		serial										2058-850X	2056-354X					Current		
Business and Human Rights Journal	2057-0198	2057-0201	2016-01-01	1	1				http://www.cambridge.org/core/product/2F27E1E24B906F6B8FD43062EEDE9C21		32877		fulltext	new 2016.		serial										2057-0198	2057-0201					Current		
Cambridge Yearbook of European Legal Studies	1528-8870	2049-7636	2007-01-01	9					http://www.cambridge.org/core/product/095334C1EDECBD5B2D8F197BAFA246A7		32878		fulltext			serial										1528-8870	2049-7636					Current		
Canadian Yearbook of International Law	0069-0058	1925-0169	1963-01-01	1					http://www.cambridge.org/core/product/092890743D60B565FE854A2D3D7B1B42		32879		fulltext	transfer in (2016)		serial										0069-0058	1925-0169					Current		
European Journal of International Security	2057-5637	2057-5645	2016-02-01	1	1				http://www.cambridge.org/core/product/E5D7515F8CBF4E7BFAB89AB5AA5D091C		32880		fulltext	transfer in (2016): British International Studies Association		serial										2057-5637	2057-5645					Current		
Global Health, Epidemiology and Genomics		2054-4200	2016-01-01	1					http://www.cambridge.org/core/product/054CD1CD15A1E20F40DB9240C3CBEAE7		32881		fulltext	new 2016. open access		serial											2054-4200					Current		
Italian Political Science Review / Rivista Italiana di Scienza Politica	0048-8402	2057-4908	2015-01-01	45	1				http://www.cambridge.org/core/product/191CA88B42077259A86901EC3FCBF1C9		32882		fulltext			serial										0048-8402	2057-4908					Current		
Journal of Classics Teaching	1741-7627	2058-6310	2015-04-01	31					http://www.cambridge.org/core/product/614D38B0B2E9358263A484E6E6CA4A94		32883		fulltext	transfer in (2016). open access. previously: JACT Review (1984-) [ISSN 0268-0181] ( Hesperiam [ISSN 0141-7517] (1978-1983); Didaskalos [ISSN 0419-1188]) (1963-1977)); Bulletin - Joint Association of classical Teachers [ISSN 0267-8349]		serial										1741-7627	2058-6310					Current		
Journal of the Canadian Linguistic Association	0319-5732		1954-10-01	1	1	1961-04-30	6	3	http://www.cambridge.org/core/product/5D1B3EC3AA1CE1CBA3DD8744B413A6F9		32885		fulltext	Now: Canadian Journal of Linguistics		serial										0319-5732						Current		
Radiocarbon	0033-8222	1945-5755							http://www.cambridge.org/core/product/D83D0E3D520D6C8984D7B12BB02624F2		32886		fulltext	transfer in (2016). 1961. vol 3. Continues: American journal of science. Radiocarbon supplement [ISSN 1061-592X]		serial										0033-8222	1945-5755					Current		
Studies in Church History	0424-2084	2059-0644	2010-01-01	46					http://www.cambridge.org/core/product/BAFE547C36B3016481364E2DB5BE6179		32887		fulltext	transfer in (2016). Previously Church History Book Series. 1964 Vol. 1.		serial										0424-2084	2059-0644					Current		
The Aeronautical Journal	0001-9240	2059-6464							http://www.cambridge.org/core/product/A350EDB68D943A8789C4C21E37881764		32888		fulltext	transfer in (2016). 1968. Continues: Journal of the Royal Aeronautical Society [ISSN 0368-3931] Absorbed: Aeronautical quarterly [ISSN 0001-9259]		serial										0001-9240	2059-6464					Current		
Southern Journal of Agricultural Economics	0081-3052		1969-01-01	1	1	1992-12-31	24	2	http://www.cambridge.org/core/product/EDF72769F6EC814DDCA54A079393F568		32971		fulltext	now: Journal of Agricultural and Applied Economics		serial										0081-3052						Current		
Journal of Psychologists and Counsellors in Schools	2055-6365	2055-6373	2015-06-01	25	1				http://www.cambridge.org/core/product/728234E80BDA61A4ADB6760D7BCF833C		32980		fulltext	previously: Australian Journal of Guidance and Counselling Volumes 5 (1991) - Volume 24 (2014),  Queensland Journal of Guidance and Counselling Volumes 1 (1987) - Volume 4 (1990)		serial										2055-6365	2055-6373					Current		
Journal of Race, Ethnicity, and Politics		2056-6085	2016-03-01	1	1				http://www.cambridge.org/core/product/946AD48A10AEFCAF247AEA8CDBAC37C1		33019		fulltext	new 2016		serial											2056-6085					Current		
Annals of Glaciology	0260-3055	1727-5644	2016-03-01	57	71				http://www.cambridge.org/core/product/DD7BD3FCBF82BF09609E5A0E1888ED7B		33589		fulltext	transfer in (2016):�IGS; open access		serial										0260-3055	1727-5644			2016-03-01		Current		
Papers of the British School at Rome	0068-2462	2045-239X	1902-01-01	1	1				http://www.cambridge.org/core/product/EEF19E292BEA869612BE95F6D29CFF19		3586		fulltext			serial										0068-2462	2045-239X					Current		
Archaeological Reports	0570-6084	2041-4102	1955-11-01	1					http://www.cambridge.org/core/product/2B0B4F2E1042565A04ECCB8A31FAE6CF		3587		fulltext			serial										0570-6084	2041-4102					Current		
Church History: Studies in Christianity and Culture	0009-6407	1755-2613	1932-03-01	1	1				http://www.cambridge.org/core/product/1F2C13B2F24D6E0CBA796873B43F24FB		3588		fulltext			serial										0009-6407	1755-2613					Current		
International & Comparative Law Quarterly	0020-5893	1471-6895	1952-01-01	1	1				http://www.cambridge.org/core/product/9D97A65DF810EA31FF7D83F3354AC3B7		3589		fulltext			serial										0020-5893	1471-6895					Current		
International Journal of Cultural Property	0940-7391	1465-7317	1992-01-01	1	1				http://www.cambridge.org/core/product/B79F481803BC6A3FBF5F03AB335C88B4		3590		fulltext			serial										0940-7391	1465-7317					Current		
Journal of Germanic Linguistics	1470-5427	1475-3014	2001-03-01	13	1				http://www.cambridge.org/core/product/992454E1DF063B47C03AE08D10BB8DC7		3591		fulltext	previously:American Journal of Germanic Linguistics and Literatures 1989-2000		serial										1470-5427	1475-3014					Current		
Theatre Survey	0040-5574	1475-4533	1960-05-01	1					http://www.cambridge.org/core/product/4C30206EDB0BDB40CA14E8B2AB6C3D9D		3592		fulltext			serial										0040-5574	1475-4533					Current		
